original,fixed,backup,status,notes
/Users/rico/sports-models/best_plays_tracking.json,/Users/rico/sports-models/tools/reports/fixed/best_plays_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/best_plays_tracking.json,overwritten,
/Users/rico/sports-models/mlb/mlb_master_model_tracking.json,/Users/rico/sports-models/tools/reports/fixed/mlb__mlb_master_model_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/mlb/mlb_master_model_tracking.json,overwritten,
/Users/rico/sports-models/nba/nba_3pt_props_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nba__nba_3pt_props_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba/nba_3pt_props_tracking.json,overwritten,
/Users/rico/sports-models/nba/nba_assists_props_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nba__nba_assists_props_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba/nba_assists_props_tracking.json,overwritten,
/Users/rico/sports-models/nba/nba_picks_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nba__nba_picks_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba/nba_picks_tracking.json,overwritten,
/Users/rico/sports-models/nba/nba_points_props_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nba__nba_points_props_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba/nba_points_props_tracking.json,overwritten,
/Users/rico/sports-models/nba/nba_rebounds_props_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nba__nba_rebounds_props_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba/nba_rebounds_props_tracking.json,overwritten,
/Users/rico/sports-models/nba_app_api/nba_picks_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nba_app_api__nba_picks_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nba_app_api/nba_picks_tracking.json,overwritten,
/Users/rico/sports-models/ncaa/cbb_rebounds_props_tracking.json,/Users/rico/sports-models/tools/reports/fixed/ncaa__cbb_rebounds_props_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/ncaa/cbb_rebounds_props_tracking.json,overwritten,
/Users/rico/sports-models/ncaa/ncaab_picks_tracking.json,/Users/rico/sports-models/tools/reports/fixed/ncaa__ncaab_picks_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/ncaa/ncaab_picks_tracking.json,overwritten,
/Users/rico/sports-models/nfl/atd_model_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nfl__atd_model_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/atd_model_tracking.json,overwritten,
/Users/rico/sports-models/nfl/nfl_passing_yards_props_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nfl__nfl_passing_yards_props_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/nfl_passing_yards_props_tracking.json,overwritten,
/Users/rico/sports-models/nfl/nfl_picks_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nfl__nfl_picks_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/nfl_picks_tracking.json,overwritten,
/Users/rico/sports-models/nfl/nfl_receiving_yards_props_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nfl__nfl_receiving_yards_props_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/nfl_receiving_yards_props_tracking.json,overwritten,
/Users/rico/sports-models/nfl/nfl_receptions_props_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nfl__nfl_receptions_props_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/nfl_receptions_props_tracking.json,overwritten,
/Users/rico/sports-models/nfl/nfl_rushing_yards_props_tracking.json,/Users/rico/sports-models/tools/reports/fixed/nfl__nfl_rushing_yards_props_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/nfl/nfl_rushing_yards_props_tracking.json,overwritten,
/Users/rico/sports-models/soccer/soccer_picks_tracking.json,/Users/rico/sports-models/tools/reports/fixed/soccer__soccer_picks_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/soccer/soccer_picks_tracking.json,overwritten,
/Users/rico/sports-models/wnba/wnba_model_tracking.json,/Users/rico/sports-models/tools/reports/fixed/wnba__wnba_model_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/wnba/wnba_model_tracking.json,overwritten,
/Users/rico/sports-models/wnba/wnba_props_tracking.json,/Users/rico/sports-models/tools/reports/fixed/wnba__wnba_props_tracking.json.fixed.json,/Users/rico/sports-models/tools/reports/backups/20251221T094903Z/wnba/wnba_props_tracking.json,overwritten,
